Vocab1,link,Vocab2
sgd,var,goa
sgd,var,ncbigene
goa,var,sgd
homologene,var,ncbigene
homologene,var,taxonomy
kegg,var,taxonomy
kegg,var,drugbank
kegg,var,omim
kegg,var,hgnc
kegg,var,ncbigene
pharmgkb,var,ncbigene
pharmgkb,var,drugbank
pharmgkb,var,kegg
pharmgkb,var,ctd
pharmgkb,var,hgnc
pharmgkb,var,omim
hgnc,var,mgi
hgnc,var,ncbigene
hgnc,var,omim
omim,var,ncbigene
omim,var,mgi
omim,var,wormbase
ncbigene,var,kegg
ncbigene,var,ctd
ncbigene,var,pharmgkb
omim,var,ctd
omim,var,kegg
ctd,var,omim
ctd,var,ncbigene
ctd,var,taxonomy
ctd,var,kegg
kegg,var,ctd
ctd,var,pharmgkb
drugbank,var,kegg
drugbank,var,pharmgkb
drugbank,var,taxonomy
drugbank,var,hgnc
mgi,var,omim
goa,var,taxonomy
wormbase,var,taxonomy
sgd,var,affymetrix
affymetrix,var,sgd
affymetrix,var,ncbigene
affymetrix,var,wormbase
affymetrix,var,mgi
affymetrix,var,omim
ncbigene,var,affymetrix
wormbase,var,affymetrix
mgi,var,affymetrix
omim,var,affymetrix
ncbigene,var,taxonomy
sgd,var,taxonomy
irefindex,var,taxonomy
irefindex,var,ncbigene
irefindex,var,sgd
