Schema Element,TotalCount
http://www.wikidata.org/entity/Q100047,20
http://www.wikidata.org/entity/Q1000660,1
http://www.wikidata.org/entity/Q1000809,1
http://www.wikidata.org/entity/Q1000984,2
http://www.wikidata.org/entity/Q1001011,1
http://www.wikidata.org/entity/Q1001287,1
http://www.wikidata.org/entity/Q1001378,1
http://www.wikidata.org/entity/Q100159,3
http://www.wikidata.org/entity/Q1002697,128
http://www.wikidata.org/entity/Q1002812,11
http://www.wikidata.org/entity/Q1002954,4
http://www.wikidata.org/entity/Q1003030,4
http://www.wikidata.org/entity/Q1003207,7
http://www.wikidata.org/entity/Q1004,125
http://www.wikidata.org/entity/Q1004415,1
http://www.wikidata.org/entity/Q1004887,3
http://www.wikidata.org/entity/Q1005416,12
http://www.wikidata.org/entity/Q1006311,3
http://www.wikidata.org/entity/Q1006365,2
http://www.wikidata.org/entity/Q1006573,2
http://www.wikidata.org/entity/Q1006644,1
http://www.wikidata.org/entity/Q1007870,19
http://www.wikidata.org/entity/Q1009272,2
http://www.wikidata.org/entity/Q1010155,8
http://www.wikidata.org/entity/Q101017,3
http://www.wikidata.org/entity/Q101065,4
http://www.wikidata.org/entity/Q101072,4
http://www.wikidata.org/entity/Q1011547,29
http://www.wikidata.org/entity/Q101244,2
http://www.wikidata.org/entity/Q101333,7
http://www.wikidata.org/entity/Q101352,761
http://www.wikidata.org/entity/Q101362,3
http://www.wikidata.org/entity/Q101373,1
http://www.wikidata.org/entity/Q101401,6
http://www.wikidata.org/entity/Q10145,1
http://www.wikidata.org/entity/Q101497,24
http://www.wikidata.org/entity/Q1015103,2
http://www.wikidata.org/entity/Q1015644,2
http://www.wikidata.org/entity/Q1016093,1
http://www.wikidata.org/entity/Q101659,20
http://www.wikidata.org/entity/Q101674,2
http://www.wikidata.org/entity/Q1016853,1
http://www.wikidata.org/entity/Q1017546,23
http://www.wikidata.org/entity/Q101843,9
http://www.wikidata.org/entity/Q101849,4
http://www.wikidata.org/entity/Q101896,6
http://www.wikidata.org/entity/Q101929,12
http://www.wikidata.org/entity/Q101991,14
http://www.wikidata.org/entity/Q102014,3
http://www.wikidata.org/entity/Q1020491,1
http://www.wikidata.org/entity/Q1020618,1
http://www.wikidata.org/entity/Q102083,5
http://www.wikidata.org/entity/Q1020994,5
http://www.wikidata.org/entity/Q10210,2
http://www.wikidata.org/entity/Q1021249,1
http://www.wikidata.org/entity/Q1021290,5
http://www.wikidata.org/entity/Q1021386,9
http://www.wikidata.org/entity/Q1021645,14
http://www.wikidata.org/entity/Q102231,3
http://www.wikidata.org/entity/Q1022867,3
http://www.wikidata.org/entity/Q102356,1
http://www.wikidata.org/entity/Q102397,1
http://www.wikidata.org/entity/Q102496,35
http://www.wikidata.org/entity/Q102500,1
http://www.wikidata.org/entity/Q10251,1
http://www.wikidata.org/entity/Q1025961,2
http://www.wikidata.org/entity/Q1026,5
http://www.wikidata.org/entity/Q10267336,13
http://www.wikidata.org/entity/Q1026962,4
http://www.wikidata.org/entity/Q102786,10
http://www.wikidata.org/entity/Q102798,1
http://www.wikidata.org/entity/Q1028181,1580
http://www.wikidata.org/entity/Q10282,7
http://www.wikidata.org/entity/Q10283556,1
http://www.wikidata.org/entity/Q10294,1
http://www.wikidata.org/entity/Q1029430,1
http://www.wikidata.org/entity/Q10298203,2
http://www.wikidata.org/entity/Q1030034,42
http://www.wikidata.org/entity/Q1030048,1
http://www.wikidata.org/entity/Q103076,4
http://www.wikidata.org/entity/Q1030987,2
http://www.wikidata.org/entity/Q103163,1
http://www.wikidata.org/entity/Q103184,5
http://www.wikidata.org/entity/Q1032130,1
http://www.wikidata.org/entity/Q103230,1
http://www.wikidata.org/entity/Q1032372,139
http://www.wikidata.org/entity/Q1033074,1
http://www.wikidata.org/entity/Q1033904,2
http://www.wikidata.org/entity/Q1033951,3
http://www.wikidata.org/entity/Q103459,2
http://www.wikidata.org/entity/Q103495,7
http://www.wikidata.org/entity/Q1035294,8
http://www.wikidata.org/entity/Q1035954,1
http://www.wikidata.org/entity/Q10373548,5
http://www.wikidata.org/entity/Q10374501,2
http://www.wikidata.org/entity/Q10374536,7
