Schema Element,TotalCount
http://www.wikidata.org/entity/Q1001378,1
http://www.wikidata.org/entity/Q1002697,49
http://www.wikidata.org/entity/Q1002812,2
http://www.wikidata.org/entity/Q1002954,4
http://www.wikidata.org/entity/Q1003030,2
http://www.wikidata.org/entity/Q1003207,3
http://www.wikidata.org/entity/Q1004,68
http://www.wikidata.org/entity/Q101072,3
http://www.wikidata.org/entity/Q101244,2
http://www.wikidata.org/entity/Q101333,4
http://www.wikidata.org/entity/Q101352,143
http://www.wikidata.org/entity/Q101362,3
http://www.wikidata.org/entity/Q101497,15
http://www.wikidata.org/entity/Q1016093,1
http://www.wikidata.org/entity/Q101659,9
http://www.wikidata.org/entity/Q101674,2
http://www.wikidata.org/entity/Q101849,1
http://www.wikidata.org/entity/Q1020491,1
http://www.wikidata.org/entity/Q10210,1
http://www.wikidata.org/entity/Q1021249,1
http://www.wikidata.org/entity/Q1021645,2
http://www.wikidata.org/entity/Q102231,3
http://www.wikidata.org/entity/Q102496,14
http://www.wikidata.org/entity/Q1026,4
http://www.wikidata.org/entity/Q102786,1
http://www.wikidata.org/entity/Q1028181,242
http://www.wikidata.org/entity/Q10282,1
http://www.wikidata.org/entity/Q10294,1
http://www.wikidata.org/entity/Q1030034,21
http://www.wikidata.org/entity/Q103076,4
http://www.wikidata.org/entity/Q103184,2
http://www.wikidata.org/entity/Q103230,1
http://www.wikidata.org/entity/Q1032372,2
http://www.wikidata.org/entity/Q1033951,1
http://www.wikidata.org/entity/Q1035954,1
http://www.wikidata.org/entity/Q10373548,3
http://www.wikidata.org/entity/Q10384156,2
http://www.wikidata.org/entity/Q103903,2
http://www.wikidata.org/entity/Q104021,3
http://www.wikidata.org/entity/Q1040689,8
http://www.wikidata.org/entity/Q104085,2
http://www.wikidata.org/entity/Q1041418,2
http://www.wikidata.org/entity/Q104251,6
http://www.wikidata.org/entity/Q1044427,3
http://www.wikidata.org/entity/Q1045481,3
http://www.wikidata.org/entity/Q1046315,2
http://www.wikidata.org/entity/Q104680,1
http://www.wikidata.org/entity/Q1047113,10
http://www.wikidata.org/entity/Q10482023,2
http://www.wikidata.org/entity/Q104843,1
http://www.wikidata.org/entity/Q1048835,17
http://www.wikidata.org/entity/Q104934,3
http://www.wikidata.org/entity/Q10493486,1
http://www.wikidata.org/entity/Q1051265,1
http://www.wikidata.org/entity/Q105186,14
http://www.wikidata.org/entity/Q1052281,151
http://www.wikidata.org/entity/Q105269,1
http://www.wikidata.org/entity/Q1052743,1
http://www.wikidata.org/entity/Q1053463,1
http://www.wikidata.org/entity/Q105420,1
http://www.wikidata.org/entity/Q1054545,1
http://www.wikidata.org/entity/Q1054574,1
http://www.wikidata.org/entity/Q1054799,70
http://www.wikidata.org/entity/Q1054813,94
http://www.wikidata.org/entity/Q1055170,1
http://www.wikidata.org/entity/Q10553309,42
http://www.wikidata.org/entity/Q1055894,9
http://www.wikidata.org/entity/Q1056396,1
http://www.wikidata.org/entity/Q1056607,1
http://www.wikidata.org/entity/Q1057303,2
http://www.wikidata.org/entity/Q105731,12
http://www.wikidata.org/entity/Q10578722,2
http://www.wikidata.org/entity/Q1058325,2
http://www.wikidata.org/entity/Q1058914,8
http://www.wikidata.org/entity/Q105999,1
http://www.wikidata.org/entity/Q1060280,1
http://www.wikidata.org/entity/Q106039,1
http://www.wikidata.org/entity/Q1060682,1
http://www.wikidata.org/entity/Q1060829,1
http://www.wikidata.org/entity/Q106106,1
http://www.wikidata.org/entity/Q1062083,7
http://www.wikidata.org/entity/Q1062400,1
http://www.wikidata.org/entity/Q106252,1
http://www.wikidata.org/entity/Q1062531,1
http://www.wikidata.org/entity/Q1062856,2
http://www.wikidata.org/entity/Q1063547,1
http://www.wikidata.org/entity/Q10648343,8
http://www.wikidata.org/entity/Q1065,43
http://www.wikidata.org/entity/Q1065118,1
http://www.wikidata.org/entity/Q1065579,12
http://www.wikidata.org/entity/Q106658,51
http://www.wikidata.org/entity/Q1066984,1
http://www.wikidata.org/entity/Q1067324,3
http://www.wikidata.org/entity/Q10675206,6
http://www.wikidata.org/entity/Q1068473,1
http://www.wikidata.org/entity/Q1068715,1
http://www.wikidata.org/entity/Q1068809,2
http://www.wikidata.org/entity/Q1069116,5
http://www.wikidata.org/entity/Q10694573,2
http://www.wikidata.org/entity/Q107,2
http://www.wikidata.org/entity/Q107013,1
http://www.wikidata.org/entity/Q1071,3
http://www.wikidata.org/entity/Q1071027,12
http://www.wikidata.org/entity/Q1071285,1
http://www.wikidata.org/entity/Q10715094,1
http://www.wikidata.org/entity/Q107184,1
http://www.wikidata.org/entity/Q1072190,1
http://www.wikidata.org/entity/Q1073,10
http://www.wikidata.org/entity/Q10732476,1
http://www.wikidata.org/entity/Q10742,11
http://www.wikidata.org/entity/Q107425,4
http://www.wikidata.org/entity/Q1075,45
http://www.wikidata.org/entity/Q1075138,2
http://www.wikidata.org/entity/Q10752679,1
http://www.wikidata.org/entity/Q1076056,2
http://www.wikidata.org/entity/Q1076110,1
http://www.wikidata.org/entity/Q1076502,1
http://www.wikidata.org/entity/Q1076874,1
http://www.wikidata.org/entity/Q1076968,1
http://www.wikidata.org/entity/Q107715,4
http://www.wikidata.org/entity/Q1077603,8
http://www.wikidata.org/entity/Q1077701,2
http://www.wikidata.org/entity/Q1078765,65
http://www.wikidata.org/entity/Q10791,2
http://www.wikidata.org/entity/Q107994,2
http://www.wikidata.org/entity/Q108,2
http://www.wikidata.org/entity/Q10800557,145
http://www.wikidata.org/entity/Q10833314,32
http://www.wikidata.org/entity/Q1084,1
http://www.wikidata.org/entity/Q10843402,6
http://www.wikidata.org/entity/Q10856,1
http://www.wikidata.org/entity/Q10856962,14
http://www.wikidata.org/entity/Q10859422,2
http://www.wikidata.org/entity/Q10861465,5
http://www.wikidata.org/entity/Q10864048,343
http://www.wikidata.org/entity/Q10871364,16
http://www.wikidata.org/entity/Q10871684,1
http://www.wikidata.org/entity/Q10873124,7
http://www.wikidata.org/entity/Q10874,22
http://www.wikidata.org/entity/Q10876,5
http://www.wikidata.org/entity/Q10876391,129
http://www.wikidata.org/entity/Q1088,18
