Schema Element,TotalCount
http://www.wikidata.org/entity/Q100026,1
http://www.wikidata.org/entity/Q1000370,3
http://www.wikidata.org/entity/Q1000371,1
http://www.wikidata.org/entity/Q10007123,1
http://www.wikidata.org/entity/Q1000809,4
http://www.wikidata.org/entity/Q1001041,1
http://www.wikidata.org/entity/Q1001051,1
http://www.wikidata.org/entity/Q1001055,1
http://www.wikidata.org/entity/Q1001059,1
http://www.wikidata.org/entity/Q1001086,1
http://www.wikidata.org/entity/Q1001287,1
http://www.wikidata.org/entity/Q1001329,1
http://www.wikidata.org/entity/Q1001378,1
http://www.wikidata.org/entity/Q100159,3
http://www.wikidata.org/entity/Q1002697,14
http://www.wikidata.org/entity/Q1002812,8
http://www.wikidata.org/entity/Q1003030,6
http://www.wikidata.org/entity/Q1003207,6
http://www.wikidata.org/entity/Q1003588,1
http://www.wikidata.org/entity/Q1003607,1
http://www.wikidata.org/entity/Q1003617,1
http://www.wikidata.org/entity/Q1003628,1
http://www.wikidata.org/entity/Q1003631,1
http://www.wikidata.org/entity/Q1003635,1
http://www.wikidata.org/entity/Q1003640,1
http://www.wikidata.org/entity/Q1003642,1
http://www.wikidata.org/entity/Q1003648,1
http://www.wikidata.org/entity/Q1003650,1
http://www.wikidata.org/entity/Q1003652,1
http://www.wikidata.org/entity/Q1003653,1
http://www.wikidata.org/entity/Q1003656,1
http://www.wikidata.org/entity/Q1003657,1
http://www.wikidata.org/entity/Q1003659,1
http://www.wikidata.org/entity/Q1003660,1
http://www.wikidata.org/entity/Q1003663,1
http://www.wikidata.org/entity/Q1003665,1
http://www.wikidata.org/entity/Q1003668,1
http://www.wikidata.org/entity/Q1003669,1
http://www.wikidata.org/entity/Q1003671,1
http://www.wikidata.org/entity/Q1003674,1
http://www.wikidata.org/entity/Q1003675,1
http://www.wikidata.org/entity/Q1003889,1
http://www.wikidata.org/entity/Q1003981,1
http://www.wikidata.org/entity/Q1004,23
http://www.wikidata.org/entity/Q1004210,1
http://www.wikidata.org/entity/Q1004354,5
http://www.wikidata.org/entity/Q1004391,1
http://www.wikidata.org/entity/Q1004401,2
http://www.wikidata.org/entity/Q1004887,1
http://www.wikidata.org/entity/Q1004929,1
http://www.wikidata.org/entity/Q1005222,1
http://www.wikidata.org/entity/Q1005383,1
http://www.wikidata.org/entity/Q1005416,1
http://www.wikidata.org/entity/Q1005418,6
http://www.wikidata.org/entity/Q1005420,6
http://www.wikidata.org/entity/Q1005490,1
http://www.wikidata.org/entity/Q1005815,2
http://www.wikidata.org/entity/Q1005845,1
http://www.wikidata.org/entity/Q1005976,1
http://www.wikidata.org/entity/Q1006048,1
http://www.wikidata.org/entity/Q1006074,1
