agent,unique_count
Amazon CloudFront,1
Apache-HttpClient/4.3.6 (java 1.5),1
Apache-HttpClient/4.4 (Java 1.5 minimum; Java/1.8.0_201),65
Apache-HttpClient/4.5.1 (Java/11.0.1),8
Apache-HttpClient/4.5.10 (Java/1.8.0_191),2
Apache-HttpClient/4.5.10 (Java/11.0.8),25
Apache-HttpClient/4.5.10 (Java/13-ea),1032
Apache-HttpClient/4.5.12 (Java/1.8.0_131),2
Apache-HttpClient/4.5.12 (Java/1.8.0_181),7
Apache-HttpClient/4.5.12 (Java/1.8.0_191),2
Apache-HttpClient/4.5.12 (Java/1.8.0_242),2
Apache-HttpClient/4.5.12 (Java/1.8.0_265),3
Apache-HttpClient/4.5.13 (Java/1.8.0_181),1
Apache-HttpClient/4.5.13 (Java/1.8.0_191),1
Apache-HttpClient/4.5.13 (Java/1.8.0_242),7
Apache-HttpClient/4.5.13 (Java/1.8.0_281),1
Apache-HttpClient/4.5.2 (Java/1.8.0_171),47996
Apache-HttpClient/4.5.2 (Java/1.8.0_201),60
Apache-HttpClient/4.5.2 (Java/1.8.0_231),1
Apache-HttpClient/4.5.2 (Java/1.8.0_281),1
Apache-HttpClient/4.5.2 (Java/11.0.2),19643
Apache-HttpClient/4.5.5 (Java/1.8.0_152),19
Apache-HttpClient/4.5.5 (Java/1.8.0_201),50
Apache-HttpClient/4.5.6 (Java/1.8.0_191),1
Apache-HttpClient/4.5.7 (Java/1.8.0_181),2
Apache-HttpClient/4.5.8 (Java/1.8.0_212),1
Apache-HttpClient/4.5.9 (Java/1.8.0_191),3
Apache-HttpClient/UNAVAILABLE (Java/1.8.0_181),2
Apache-Jena-ARQ/2.11.1,2
Apache-Jena-ARQ/2.11.2,3
Apache-Jena-ARQ/2.12.0,4
Apache-Jena-ARQ/3.0.1,1
Apache-Jena-ARQ/3.1.0,494
Apache-Jena-ARQ/3.1.1,5693
Apache-Jena-ARQ/3.10.0,8
Apache-Jena-ARQ/3.11.0,7
Apache-Jena-ARQ/3.12.0,20246
Apache-Jena-ARQ/3.13.0,122
Apache-Jena-ARQ/3.13.0-SNAPSHOT,23
Apache-Jena-ARQ/3.13.1,20628
Apache-Jena-ARQ/3.14.0,13967
Apache-Jena-ARQ/3.14.0-SNAPSHOT,7
Apache-Jena-ARQ/3.15.0,1
Apache-Jena-ARQ/3.15.0-SNAPSHOT,2
Apache-Jena-ARQ/3.16.0,7
Apache-Jena-ARQ/3.17.0,3
Apache-Jena-ARQ/3.4.0,20143
Apache-Jena-ARQ/3.5.0,3
Apache-Jena-ARQ/3.6.0,2349
Apache-Jena-ARQ/3.7.0,3628
Apache-Jena-ARQ/3.8.0,422885
Apache-Jena-ARQ/3.9.0,23607
Apache-Jena-ARQ/unknown,7096
Comunica/actor-http-native (Node.js v10.17.0; linux),2
"Dear webmaster: DON'T USE JAVASCRIPT!!  Javascript is a security, privacy and efficiency threat for every web user.  In the large, it does evil things on our computers.",2
Drakma/2.0.7 (Clozure Common Lisp Version 1.11.5/v1.11.5  (LinuxX8664); Linux; 4.15.0-1051-aws; http://weitz.de/drakma/),440
EasyRdf_Http_Client,1
HTTPie/1.0.3,2
HTTPie/2.4.0,1
Java/1.6.0_20,1
Java/1.7.0-u40-unofficial,1
Java/1.8.0_111,43
Java/1.8.0_181,8
Java/1.8.0_191,3
Java/1.8.0_201,7
Java/1.8.0_211,45
Java/1.8.0_222,1
Java/1.8.0_231,1
Java/1.8.0_261,4
